Country,Revenue,Nüfus,Per person,Continent
USA,20410000,323766,63039,North America
China,14090000,1415045,9957,Asia
Japan,5170000,127185,40649,Asia
Germany,4210000,82293,51158,Europe
England,2940000,66573,44162,Europe
France,2930000,65233,44915,Europe
India,2850000,1354051,2104,Asia
Italy,2180000,62273,36768,Europe
Brazil,2140000,210867,10148,South America
Canada,1800000,36953,48710,North America
Russia,1720000,143967,11947,Europe
South Korea,1690000,51164,33031,Asia
Spain,1510000,46397,32545,Europe
Australia,1500000,24772,60552,Oceania
Mexican,1210000,130759,9253,North America
Indonesia,1070000,266794,4010,Asia
Netherlands,945000,17084,55314,Europe
Turkey,910000,81916,11108,Asia
Saudi Arabia,748000,33554,22292,Asia
Switzerland,741000,8554,86626,Europe
