,Year,Month,inflation
0,2008,January,8.17
1,2008,February,9.1
2,2008,March,9.15
3,2008,April,9.66
4,2008,May,10.74
5,2008,June,10.61
6,2008,July,12.06
7,2008,August,11.77
8,2008,September,11.13
9,2008,October,11.99
10,2008,November,10.76
11,2008,December,10.06
12,2009,January,9.5
13,2009,February,7.73
14,2009,March,7.89
15,2009,April,6.13
16,2009,May,5.24
17,2009,June,5.73
18,2009,July,5.39
19,2009,August,5.33
20,2009,September,5.27
21,2009,October,5.08
22,2009,November,5.53
23,2009,December,6.53
24,2010,January,8.19
25,2010,February,10.13
26,2010,March,9.56
27,2010,April,10.19
28,2010,May,9.1
29,2010,June,8.37
30,2010,July,7.58
31,2010,August,8.33
32,2010,September,9.24
33,2010,October,8.62
34,2010,November,7.29
35,2010,December,6.4
36,2011,January,4.9
37,2011,February,4.16
38,2011,March,3.99
39,2011,April,4.26
40,2011,May,7.17
41,2011,June,6.24
42,2011,July,6.31
43,2011,August,6.65
44,2011,September,6.15
45,2011,October,7.66
46,2011,November,9.48
47,2011,December,10.45
48,2012,January,10.61
49,2012,February,10.43
50,2012,March,10.43
51,2012,April,11.14
52,2012,May,8.28
53,2012,June,8.87
54,2012,July,9.07
55,2012,August,8.88
56,2012,September,9.19
57,2012,October,7.8
58,2012,November,6.37
59,2012,December,6.16
60,2013,January,7.31
61,2013,February,7.03
62,2013,March,7.29
63,2013,April,6.13
64,2013,May,6.51
65,2013,June,8.3
66,2013,July,8.88
67,2013,August,8.17
68,2013,September,7.88
69,2013,October,7.71
70,2013,November,7.32
71,2013,December,7.4
72,2014,January,7.75
73,2014,February,7.89
74,2014,March,8.39
75,2014,April,9.38
76,2014,May,9.66
77,2014,June,9.16
78,2014,July,9.32
79,2014,August,9.54
80,2014,September,8.86
81,2014,October,8.96
82,2014,November,9.15
83,2014,December,8.17
84,2015,January,7.24
85,2015,February,7.55
86,2015,March,7.61
87,2015,April,7.91
88,2015,May,8.09
89,2015,June,7.2
90,2015,July,6.81
91,2015,August,7.14
92,2015,September,7.95
93,2015,October,7.58
94,2015,November,8.1
95,2015,December,8.81
96,2016,January,9.58
97,2016,February,8.78
98,2016,March,7.46
99,2016,April,6.57
100,2016,May,6.58
101,2016,June,7.64
102,2016,July,8.05
103,2016,August,8.79
104,2016,September,7.28
105,2016,October,7.16
106,2016,November,7.0
107,2016,December,8.53
108,2017,January,9.22
109,2017,February,10.13
110,2017,March,11.29
111,2017,April,11.87
112,2017,May,11.72
113,2017,June,10.9
114,2017,July,9.79
115,2017,August,10.68
116,2017,September,7.29
117,2017,October,11.9
118,2017,November,12.98
119,2017,December,11.92
